ID,crop name,month,year,CorpId,climate,Latitude,Longitude,Pressure, Wind NE, Wind SW
EP011949,wheat,jan,2015,45, TS,20.2N,106.3W,1006,89,30
EP011949,wheat,feb,2015,45, TS,20.2N,106.4W,1006,50,40
EP011949,wheat,mar,2015,45, TS,20.2N,106.7W,1005,75,75
EP011949,wheat,apr,2015,45, TS,20.3N,107.7W,1000,75,75
EP011949,wheat,may,2015,45, TS,20.4N,108.6W,997,75,75
EP011949,cotton,jun,2016,45, TS,20.5N,109.4W,1000,50,50
EP011949,cotton,jul,2016,45, TS,20.6N,110.2W,1002,50,50
EP021949,maize,aug,2016,45, TS,14.1N,107.0W,1002,50,50
EP021949,maize,sep,2016,45, TS,14.6N,107.7W,1003,71,69
EP021949,cotton,oct,2016,45, TS,15.0N,108.4W,1005,70,77
EP021949,cotton,nov,2016,45, TS,15.4N,109.2W,1006,54,98
EP021949,jute,dec,2016,45, TS,15.7N,110.0W,1008,56,54
EP021949,jute,feb,2016,45, TS,16.0N,110.8W,1008,78,85
EP021949,jute,mar,2016,45, TS,16.3N,111.6W,1008,28,86
EP021949,jute,apr,2016,45, TS,16.7N,112.3W,1009,74,67
EP021949,cotton,may,2016,45, TS,17.1N,112.9W,1010,87,89
EP021949,cotton,jun,2016,45, TS,17.5N,113.5W,1010,110,55
EP021949,cotton,jul,2016,45, TS,18.0N,114.1W,1008,80,54
EP021949,sugarcane,aug,2016,45, TS,18.4N,114.6W,1008,89,85
EP021949,sugarcane,sep,2016,45, TS,18.9N,115.1W,1007,50,40
EP021949,sugarcane,may,2016,45, TS,19.4N,115.6W,1007,70,52
EP021949,cotton,june,2016,45, TS,19.9N,116.0W,1007,80,55
EP021949,wheat,july,2016,45, TS,20.4N,116.4W,1008,80,65
EP021949,wheat,august,2016,45, TS,21.0N,116.7W,1008,85,65
EP021949,wheat,september,2016,45, TS,21.5N,117.1W,1008,0,0
EP021949,wheat,october,2016,45, TS,22.0N,117.5W,1009,0,0
EP021949,wheat,november,2016,45, TS,22.5N,117.8W,1009,0,0
EP021949,wheat,december,2016,45, TS,23.1N,118.0W,1009,0,0
EP021949,wheat,january,2016,45, TS,23.9N,118.0W,1009,0,0
EP021949,wheat,february,2016,45, TS,24.7N,117.7W,1009,0,0
EP021949,wheat,march,2016,45, TS,25.4N,117.4W,1009,0,0
EP021949,wheat,april,2016,45, TS,26.0N,117.0W,1007,0,0
EP031949,wheat,may,2016,45, TS,17.3N,106.3W,1007,0,0
EP031949,wheat,june,2016,45, TS,17.6N,106.6W,1007,0,0
EP031949,wheat,july,2016,45, TS,17.9N,106.8W,1007,0,0
EP031949,wheat,august,2016,45, TS,18.4N,106.8W,1007,0,0
EP031949,wheat,september,2016,45, TS,18.8N,106.9W,1007,0,0
EP031949,wheat,october,2016,45, TS,18.9N,106.9W,1006,0,0
EP031949,wheat,november,2016,45, TS,19.0N,107.0W,1002,150,120
EP031949,wheat,december,2016,45, TS,19.0N,107.1W,997,200,150
EP031949,wheat,january,2016,45, TS,19.1N,107.2W,994,200,150
EP031949,wheat,february,2016,45, TS,19.6N,107.9W,991,200,150
EP031949,wheat,march,2016,45, TS,20.2N,108.8W,994,150,120
EP031949,wheat,april,2016,45, TS,20.7N,109.4W,997,120,100
EP031949,wheat,may,2016,45, TS,21.2N,110.0W,999,100,50
